Frame,Body_Angle_deg,Leg_Stretch_Ratio
518,104.499,0.478
519,105.956,0.626
519,104.628,0.478
520,105.525,0.613
520,110.799,0.502
521,103.841,0.599
521,103.869,0.476
522,99.896,0.569
522,101.968,0.512
523,92.672,0.467
523,98.585,0.521
524,96.291,0.551
524,93.322,0.425
525,96.276,0.551
525,93.231,0.424
526,93.131,0.409
526,91.27,0.569
527,90.513,0.41
527,89.623,0.523
528,95.988,0.522
528,89.937,0.408
528,98.259,0.511
529,96.109,0.531
529,89.317,0.434
530,95.058,0.554
530,90.701,0.44
531,95.108,0.554
531,90.692,0.44
532,93.757,0.605
532,90.006,0.426
533,92.999,0.568
533,93.87,0.414
534,93.484,0.611
534,91.322,0.427
535,90.263,0.578
535,91.559,0.435
536,88.805,0.517
536,88.504,0.44
537,88.826,0.517
537,88.591,0.44
538,91.907,0.567
538,81.3,0.399
539,89.964,0.515
539,76.354,0.413
540,87.849,0.553
540,71.058,0.439
541,92.798,0.536
541,75.66,0.42
542,95.457,0.543
542,78.619,0.448
543,95.481,0.542
543,78.839,0.448
544,98.784,0.565
544,66.624,0.486
545,104.521,0.622
545,69.614,0.477
546,102.835,0.621
546,68.47,0.449
547,104.015,0.572
547,67.295,0.425
548,103.342,0.536
548,65.226,0.428
549,103.331,0.536
549,65.371,0.427
550,100.165,0.558
550,59.387,0.439
551,97.313,0.585
551,66.09,0.424
552,95.831,0.607
552,62.05,0.431
553,94.625,0.607
553,63.333,0.438
554,92.851,0.577
554,59.383,0.427
555,92.883,0.577
555,59.321,0.427
556,91.729,0.58
556,60.821,0.434
557,94.086,0.576
557,58.564,0.434
558,91.714,0.594
558,57.245,0.443
559,92.123,0.56
559,69.072,0.447
560,94.472,0.526
560,74.143,0.431
561,94.46,0.526
561,74.189,0.432
562,90.444,0.644
562,74.469,0.405
563,92.155,0.594
563,86.356,0.36
564,91.77,0.567
564,81.924,0.367
565,91.657,0.601
565,82.985,0.374
566,85.964,0.611
566,84.263,0.371
567,85.972,0.612
567,84.121,0.372
568,85.025,0.59
568,87.221,0.358
568,91.802,0.399
569,92.17,0.496
569,94.747,0.388
570,91.093,0.487
570,98.404,0.375
570,95.864,0.357
571,89.417,0.513
571,98.756,0.377
572,86.1,0.517
572,97.276,0.393
573,86.097,0.517
573,97.387,0.393
574,83.857,0.534
574,97.979,0.414
575,84.48,0.52
575,92.261,0.397
576,84.788,0.527
576,102.269,0.419
577,85.305,0.53
577,103.485,0.355
578,86.26,0.529
578,101.116,0.373
579,86.24,0.53
579,100.931,0.373
580,88.159,0.525
580,98.628,0.392
581,89.865,0.524
581,97.666,0.361
581,97.464,0.389
582,92.393,0.539
582,95.956,0.365
582,96.288,0.341
583,96.527,0.54
583,96.345,0.35
583,96.666,0.391
584,98.868,0.586
584,98.704,0.334
585,98.818,0.586
585,98.885,0.333
586,98.969,0.55
586,99.655,0.369
587,97.18,0.533
587,97.651,0.416
588,97.34,0.583
588,97.09,0.342
589,100.046,0.55
589,98.169,0.318
590,101.435,0.586
590,99.402,0.317
591,101.441,0.585
591,99.317,0.317
592,104.047,0.677
592,100.435,0.34
593,101.156,0.684
593,101.483,0.334
594,99.359,0.664
594,97.73,0.304
595,93.06,0.539
595,95.17,0.313
596,92.569,0.523
596,94.208,0.373
597,92.534,0.523
597,94.252,0.374
598,94.234,0.524
598,95.097,0.361
599,91.041,0.463
599,96.015,0.336
600,90.202,0.443
600,95.07,0.393
601,91.066,0.438
601,96.996,0.421
602,88.751,0.442
602,97.132,0.418
603,88.729,0.443
603,97.092,0.418
604,82.79,0.482
604,96.998,0.44
605,79.015,0.5
605,92.873,0.416
606,80.359,0.571
606,94.366,0.447
607,72.396,0.607
607,92.298,0.447
608,72.47,0.602
608,91.751,0.443
609,72.48,0.603
609,91.662,0.443
610,69.425,0.585
610,88.916,0.417
611,74.46,0.581
611,88.853,0.417
612,66.382,0.63
612,92.739,0.435
