frame,x,y
729,1255.0,865.0
730,1254.0,863.75
731,1252.0,862.75
732,1251.0,860.75
733,1251.0,859.75
734,1249.0,858.25
735,1248.0,858.25
736,1247.0,854.0
737,1242.0,848.25
738,1231.0,843.5
739,1216.0,840.25
740,1195.0,836.0
741,1187.0,834.75
742,1170.0,832.5
743,1152.0,830.75
744,1137.0,827.0
745,1124.0,823.5
746,1109.0,821.5
747,1103.0,820.0
748,1093.0,808.25
749,1077.0,801.25
750,1056.0,799.75
751,1033.0,796.75
752,1012.0,794.75
753,1005.0,794.0
754,994.0,792.5
755,982.0,791.5
756,971.0,789.75
757,959.0,787.75
758,946.0,786.5
759,942.0,786.5
760,934.0,784.0
761,921.0,785.0
762,910.0,784.0
763,901.0,783.75
764,893.0,782.25
765,891.0,781.0
766,884.0,779.75
767,877.0,779.0
768,871.0,776.75
769,869.5,770.75
770,868.0,764.75
771,868.0,763.0
772,872.0,758.25
773,876.0,752.75
774,880.0,749.75
775,885.0,748.5
776,888.0,747.75
777,889.0,747.75
778,890.0,747.75
779,890.0,748.0
780,891.0,747.5
781,891.0,747.25
782,890.0,746.25
783,888.0,746.25
784,883.0,745.0
785,884.0,745.5
786,888.0,747.25
787,890.0,749.0
788,890.0,752.75
789,890.0,754.25
790,895.0,757.75
791,900.0,762.25
792,896.0,769.5
793,894.0,775.25
794,893.0,777.5
795,892.0,778.5
796,893.0,780.25
797,893.0,781.5
798,893.0,781.25
799,895.0,779.5
800,898.0,779.0
801,899.0,778.75
802,903.0,780.0
803,910.0,783.25
804,912.0,789.0
805,913.0,796.0
806,911.0,801.75
807,910.0,804.0
808,912.0,807.0
809,909.0,809.5
810,908.0,811.0
811,911.0,812.75
812,893.0,819.25
813,887.0,821.75
814,874.0,828.25
815,881.0,832.75
816,853.0,837.25
817,836.0,840.25
818,827.0,844.75
819,824.0,846.0
820,818.0,849.25
821,809.0,850.75
822,803.0,851.25
823,799.0,849.75
824,791.0,849.0
825,788.0,848.5
826,780.0,847.0
827,771.0,845.25
828,761.5,845.875
829,752.0,846.5
830,744.0,845.5
831,742.0,846.0
832,740.0,847.25
833,735.0,845.75
834,733.0,849.75
835,731.0,855.5
836,730.0,859.25
837,730.0,860.25
838,730.0,859.5
839,730.0,857.0
840,729.0,854.5
841,729.0,852.25
842,729.0,848.25
843,728.0,847.5
844,727.0,843.5
845,729.0,836.5
846,737.0,831.5
847,748.0,822.75
848,757.0,813.25
849,760.0,809.75
850,762.0,807.5
851,767.0,804.75
852,769.0,801.75
853,772.0,797.5
854,777.0,793.0
855,779.0,792.0
856,781.0,790.75
857,785.0,790.0
858,792.0,787.75
859,802.0,781.25
860,813.0,773.0
861,817.0,769.75
862,823.0,767.25
863,831.0,761.25
864,838.0,757.25
865,843.0,755.5
866,847.0,756.25
867,849.0,756.5
868,851.0,758.0
869,855.0,761.75
870,856.0,762.5
871,859.0,764.25
872,884.0,764.75
873,894.0,766.0
874,899.0,765.5
875,898.0,765.5
876,899.0,767.5
877,904.0,772.25
878,908.0,778.75
879,910.0,780.75
880,916.0,784.25
881,927.0,787.5
882,935.0,789.5
883,948.0,790.75
884,954.0,793.5
885,957.0,794.5
886,961.0,799.75
887,964.0,809.25
888,967.0,817.0
889,970.0,822.5
890,974.0,828.0
891,976.0,830.0
892,982.0,834.0
893,986.0,836.5
894,994.0,837.5
895,1004.0,836.5
896,1015.0,837.5
897,1019.0,838.5
898,1026.0,839.75
899,1036.0,841.0
900,1047.0,843.5
901,1055.0,850.25
902,1063.0,854.5
903,1066.0,855.5
904,1076.0,856.25
905,1085.0,857.25
906,1097.0,858.75
907,1106.0,857.75
908,1107.0,857.0
909,1108.0,856.0
